"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-13 13:30:06.3",63,"NAN","NAN","NAN","NAN",61502,33.69154,2.541876
"2020-01-13 13:30:06.4",64,"NAN","NAN","NAN","NAN",61502,33.69487,2.542522
"2020-01-13 13:30:06.5",65,"NAN","NAN","NAN","NAN",61502,33.69321,2.542286
"2020-01-13 13:30:06.6",66,"NAN","NAN","NAN","NAN",61502,33.69487,2.542609
"2020-01-13 13:30:06.7",67,"NAN","NAN","NAN","NAN",61502,33.68989,2.541989
"2020-01-13 13:30:06.8",68,"NAN","NAN","NAN","NAN",61502,33.68989,2.541989
"2020-01-13 13:30:06.9",69,"NAN","NAN","NAN","NAN",61502,33.68822,2.541405
"2020-01-13 13:30:07",70,"NAN","NAN","NAN","NAN",61502,33.68822,2.541145
"2020-01-13 13:30:07.1",71,"NAN","NAN","NAN","NAN",61502,33.68989,2.54112
"2020-01-13 13:30:07.2",72,"NAN","NAN","NAN","NAN",61502,33.69487,2.54174
"2020-01-13 13:30:07.3",73,"NAN","NAN","NAN","NAN",61502,33.69819,2.542125
"2020-01-13 13:30:07.4",74,"NAN","NAN","NAN","NAN",61502,33.69653,2.542062
"2020-01-13 13:30:07.5",75,"NAN","NAN","NAN","NAN",61502,33.69653,2.542236
"2020-01-13 13:30:07.6",76,"NAN","NAN","NAN","NAN",61502,33.69819,2.542733
"2020-01-13 13:30:07.7",77,"NAN","NAN","NAN","NAN",61502,33.69154,2.541616
"2020-01-13 13:30:07.8",78,"NAN","NAN","NAN","NAN",61502,33.70151,2.543291
"2020-01-13 13:30:07.9",79,"NAN","NAN","NAN","NAN",61502,33.70151,2.543812
"2020-01-13 13:30:08",80,"NAN","NAN","NAN","NAN",61502,33.69653,2.543539
"2020-01-13 13:30:08.1",81,"NAN","NAN","NAN","NAN",61502,33.69653,2.543712
"2020-01-13 13:30:08.2",82,"NAN","NAN","NAN","NAN",61502,33.69321,2.543154
"2020-01-13 13:30:08.3",83,"NAN","NAN","NAN","NAN",61502,33.68324,2.541479
"2020-01-13 13:30:08.4",84,"NAN","NAN","NAN","NAN",61502,33.68656,2.541777
"2020-01-13 13:30:08.5",85,"NAN","NAN","NAN","NAN",61502,33.68989,2.541902
"2020-01-13 13:30:08.6",86,"NAN","NAN","NAN","NAN",61502,33.69321,2.542286
"2020-01-13 13:30:08.7",87,"NAN","NAN","NAN","NAN",61502,33.69321,2.542286
"2020-01-13 13:30:08.8",88,"NAN","NAN","NAN","NAN",61502,33.68989,2.541728
"2020-01-13 13:30:08.9",89,"NAN","NAN","NAN","NAN",61502,33.69321,2.542112
"2020-01-13 13:30:09",90,"NAN","NAN","NAN","NAN",61502,33.70151,2.543638
"2020-01-13 13:30:09.1",91,"NAN","NAN","NAN","NAN",61502,33.70317,2.544135
"2020-01-13 13:30:09.2",92,"NAN","NAN","NAN","NAN",61502,33.70151,2.544073
"2020-01-13 13:30:09.3",93,"NAN","NAN","NAN","NAN",61502,33.69653,2.543452
"2020-01-13 13:30:09.4",94,"NAN","NAN","NAN","NAN",61502,33.69819,2.543862
"2020-01-13 13:30:09.5",95,"NAN","NAN","NAN","NAN",61502,33.69819,2.543775
"2020-01-13 13:30:09.6",96,"NAN","NAN","NAN","NAN",61502,33.68989,2.54277
"2020-01-13 13:30:09.7",97,"NAN","NAN","NAN","NAN",61502,33.68822,2.542534
"2020-01-13 13:30:09.8",98,"NAN","NAN","NAN","NAN",61502,33.68989,2.54277
"2020-01-13 13:30:09.9",99,"NAN","NAN","NAN","NAN",61502,33.68656,2.542211
"2020-01-13 13:30:10",100,"NAN","NAN","NAN","NAN",61502,33.68822,2.54236
"2020-01-13 13:30:10.1",101,"NAN","NAN","NAN","NAN",61502,33.68822,2.542273
"2020-01-13 13:30:10.2",102,"NAN","NAN","NAN","NAN",61502,33.68656,2.54195
"2020-01-13 13:30:10.3",103,"NAN","NAN","NAN","NAN",61502,33.68822,2.5421
"2020-01-13 13:30:10.4",104,"NAN","NAN","NAN","NAN",61502,33.68491,2.541629
"2020-01-13 13:30:10.5",105,"NAN","NAN","NAN","NAN",61502,33.68159,2.541071
"2020-01-13 13:30:10.6",106,"NAN","NAN","NAN","NAN",61502,33.68656,2.541864
"2020-01-13 13:30:10.7",107,"NAN","NAN","NAN","NAN",61502,33.68822,2.542013
"2020-01-13 13:30:10.8",108,"NAN","NAN","NAN","NAN",61502,33.68822,2.5421
"2020-01-13 13:30:10.9",109,"NAN","NAN","NAN","NAN",61502,33.68656,2.541777
"2020-01-13 13:30:11",110,"NAN","NAN","NAN","NAN",61502,33.68491,2.541542
"2020-01-13 13:30:11.1",111,"NAN","NAN","NAN","NAN",61502,33.68822,2.541926
"2020-01-13 13:30:11.2",112,"NAN","NAN","NAN","NAN",61502,33.68491,2.541542
"2020-01-13 13:30:11.3",113,"NAN","NAN","NAN","NAN",61502,33.68989,2.542249
"2020-01-13 13:30:11.4",114,"NAN","NAN","NAN","NAN",61502,33.68656,2.541777
"2020-01-13 13:30:11.5",115,"NAN","NAN","NAN","NAN",61502,33.68491,2.541629
"2020-01-13 13:30:11.6",116,"NAN","NAN","NAN","NAN",61502,33.68822,2.542013
"2020-01-13 13:30:11.7",117,"NAN","NAN","NAN","NAN",61502,33.69321,2.542633
"2020-01-13 13:30:11.8",118,"NAN","NAN","NAN","NAN",61502,33.69487,2.542783
"2020-01-13 13:30:11.9",119,"NAN","NAN","NAN","NAN",61502,33.69321,2.542547
"2020-01-13 13:30:12",120,"NAN","NAN","NAN","NAN",61502,33.68989,2.542075
"2020-01-13 13:30:12.1",121,"NAN","NAN","NAN","NAN",61502,33.69154,2.54231
"2020-01-13 13:30:12.2",122,"NAN","NAN","NAN","NAN",61502,33.69154,2.54231
"2020-01-13 13:30:12.3",123,"NAN","NAN","NAN","NAN",61502,33.68822,2.541926
"2020-01-13 13:30:12.4",124,"NAN","NAN","NAN","NAN",61502,33.68159,2.540984
"2020-01-13 13:30:12.5",125,"NAN","NAN","NAN","NAN",61502,33.67992,2.540662
"2020-01-13 13:30:12.6",126,"NAN","NAN","NAN","NAN",61502,33.67661,2.540191
"2020-01-13 13:30:12.7",127,"NAN","NAN","NAN","NAN",61502,33.68159,2.540897
"2020-01-13 13:30:12.8",128,"NAN","NAN","NAN","NAN",61502,33.68822,2.541666
"2020-01-13 13:30:12.9",129,"NAN","NAN","NAN","NAN",61502,33.68491,2.541282
"2020-01-13 13:30:13",130,"NAN","NAN","NAN","NAN",61502,33.68989,2.541989
"2020-01-13 13:30:13.1",131,"NAN","NAN","NAN","NAN",61502,33.68989,2.541902
"2020-01-13 13:30:13.2",132,"NAN","NAN","NAN","NAN",61502,33.69487,2.542696
"2020-01-13 13:30:13.3",133,"NAN","NAN","NAN","NAN",61502,33.69321,2.54246
"2020-01-13 13:30:13.4",134,"NAN","NAN","NAN","NAN",61502,33.68822,2.541753
"2020-01-13 13:30:13.5",135,"NAN","NAN","NAN","NAN",61502,33.69154,2.542224
"2020-01-13 13:30:13.6",136,"NAN","NAN","NAN","NAN",61502,33.68822,2.541753
"2020-01-13 13:30:13.7",137,"NAN","NAN","NAN","NAN",61502,33.68324,2.541219
"2020-01-13 13:30:13.8",138,"NAN","NAN","NAN","NAN",61502,33.68989,2.542075
"2020-01-13 13:30:13.9",139,"NAN","NAN","NAN","NAN",61502,33.68989,2.542075
"2020-01-13 13:30:14",140,"NAN","NAN","NAN","NAN",61502,33.68656,2.541777
"2020-01-13 13:30:14.1",141,"NAN","NAN","NAN","NAN",61502,33.68491,2.541455
"2020-01-13 13:30:14.2",142,"NAN","NAN","NAN","NAN",61502,33.68656,2.541777
"2020-01-13 13:30:14.3",143,"NAN","NAN","NAN","NAN",61502,33.68491,2.541455
"2020-01-13 13:30:14.4",144,"NAN","NAN","NAN","NAN",61502,33.68324,2.541219
"2020-01-13 13:30:14.5",145,"NAN","NAN","NAN","NAN",61502,33.68159,2.540811
"2020-01-13 13:30:14.6",146,"NAN","NAN","NAN","NAN",61502,33.68491,2.541368
"2020-01-13 13:30:14.7",147,"NAN","NAN","NAN","NAN",61502,33.68656,2.541517
"2020-01-13 13:30:14.8",148,"NAN","NAN","NAN","NAN",61502,33.68989,2.541989
"2020-01-13 13:30:14.9",149,"NAN","NAN","NAN","NAN",61502,33.68656,2.541517
"2020-01-13 13:30:15",150,"NAN","NAN","NAN","NAN",61502,33.68822,2.541579
"2020-01-13 13:30:15.1",151,"NAN","NAN","NAN","NAN",61502,33.68324,2.540959
"2020-01-13 13:30:15.2",152,"NAN","NAN","NAN","NAN",61502,33.68656,2.541343
"2020-01-13 13:30:15.3",153,"NAN","NAN","NAN","NAN",61502,33.68324,2.540872
"2020-01-13 13:30:15.4",154,"NAN","NAN","NAN","NAN",61502,33.68491,2.541195
"2020-01-13 13:30:15.5",155,"NAN","NAN","NAN","NAN",61502,33.68324,2.540872
"2020-01-13 13:30:15.6",156,"NAN","NAN","NAN","NAN",61502,33.68324,2.540872
"2020-01-13 13:30:15.7",157,"NAN","NAN","NAN","NAN",61502,33.68159,2.540724
"2020-01-13 13:30:15.8",158,"NAN","NAN","NAN","NAN",61502,33.68159,2.540724
"2020-01-13 13:30:15.9",159,"NAN","NAN","NAN","NAN",61502,33.68491,2.541282
"2020-01-13 13:30:16",160,"NAN","NAN","NAN","NAN",61502,33.68324,2.540959
"2020-01-13 13:30:16.1",161,"NAN","NAN","NAN","NAN",61502,33.68159,2.540897
"2020-01-13 13:30:16.2",162,"NAN","NAN","NAN","NAN",61502,33.67992,2.540575
"2020-01-13 13:30:16.3",163,"NAN","NAN","NAN","NAN",61502,33.67826,2.540339
"2020-01-13 13:30:16.4",164,"NAN","NAN","NAN","NAN",61502,33.68159,2.540811
"2020-01-13 13:30:16.5",165,"NAN","NAN","NAN","NAN",61502,33.68324,2.541045
"2020-01-13 13:30:16.6",166,"NAN","NAN","NAN","NAN",61502,33.68491,2.541282
"2020-01-13 13:30:16.7",167,"NAN","NAN","NAN","NAN",61502,33.68491,2.541368
"2020-01-13 13:30:16.8",168,"NAN","NAN","NAN","NAN",61502,33.68822,2.541839
