"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-16 17:22:05.1",55851,3.94475,-3.62175,-0.93725,7.300049,0,35.71214,2.905772
"2020-01-16 17:22:05.2",55852,3.97225,-2.691,-0.48025,7.286682,0,35.71546,2.906302
"2020-01-16 17:22:05.3",55853,3.86225,-3.48925,-0.30925,7.477203,0,35.71381,2.906038
"2020-01-16 17:22:05.4",55854,3.82625,-3.958,0.2325,7.679474,0,35.71381,2.905941
"2020-01-16 17:22:05.5",55855,4.23325,-4.0495,0.3065,7.547394,0,35.71214,2.905772
"2020-01-16 17:22:05.6",55856,3.77875,-2.94275,0.4645,7.532349,0,35.71712,2.906568
"2020-01-16 17:22:05.7",55857,3.92575,-2.72975,-0.502,7.412018,0,35.71381,2.905941
"2020-01-16 17:22:05.8",55858,3.86725,-2.47725,-0.649,7.467163,0,35.71214,2.905578
"2020-01-16 17:22:05.9",55859,3.46375,-3.35175,-0.277,7.40033,0,35.70882,2.905143
"2020-01-16 17:22:06",55860,4.1305,-2.937,-0.46925,7.281677,0,35.71048,2.905409
"2020-01-16 17:22:06.1",55861,4.6835,-2.563,0.075,7.545685,0,35.71214,2.905578
"2020-01-16 17:22:06.2",55862,5.45725,-4.26625,-0.08275001,7.751343,0,35.71214,2.905578
"2020-01-16 17:22:06.3",55863,5.063,-6.10825,-0.0235,7.737976,0,35.71214,2.905578
"2020-01-16 17:22:06.4",55864,3.72325,-4.8675,-0.86375,7.681152,0,35.70715,2.904683
"2020-01-16 17:22:06.5",55865,4.455,-2.23975,-0.98475,7.423706,0,35.71381,2.905746
"2020-01-16 17:22:06.6",55866,4.491,-0.37025,0.015,7.264954,0,35.71048,2.905215
"2020-01-16 17:22:06.7",55867,4.28,-0.8575,-0.14375,7.313446,0,35.71214,2.905578
"2020-01-16 17:22:06.8",55868,5.02925,-1.668,0.41825,7.293335,0,35.71214,2.905481
"2020-01-16 17:22:06.9",55869,4.4985,-1.30825,-0.24825,7.699493,0,35.71214,2.905481
"2020-01-16 17:22:07",55870,4.97125,-2.30025,-0.705,7.51059,0,35.71214,2.905384
"2020-01-16 17:22:07.1",55871,7.393,-2.187,1.321,7.778107,0,35.71546,2.905914
"2020-01-16 17:22:07.2",55872,7.740251,-3.466,0.9695001,7.823273,0,35.71381,2.905649
"2020-01-16 17:22:07.3",55873,6.4945,-2.669,1.1985,7.970428,0,35.71879,2.906445
"2020-01-16 17:22:07.4",55874,6.93325,-3.23,1.23725,7.803192,0,35.71546,2.905816
"2020-01-16 17:22:07.5",55875,7.484251,-4.1505,1.45425,7.873413,0,35.71381,2.905649
"2020-01-16 17:22:07.6",55876,7.39675,-1.9595,0.357,7.808197,0,35.71546,2.906011
"2020-01-16 17:22:07.7",55877,6.662251,-1.56575,-0.35675,7.340149,0,35.71214,2.905384
"2020-01-16 17:22:07.8",55878,7.17125,-2.5895,0.5185,7.744659,0,35.71381,2.905649
"2020-01-16 17:22:07.9",55879,5.65025,-1.801,0.121,7.505615,0,35.71546,2.905914
"2020-01-16 17:22:08",55880,6.79875,-3.0195,0.4615,7.306763,0,35.71546,2.906011
"2020-01-16 17:22:08.1",55881,5.91,-3.535,-1.183,7.681152,0,35.71546,2.906205
"2020-01-16 17:22:08.2",55882,5.34775,-3.4615,-1.1185,7.498901,0,35.71546,2.906108
"2020-01-16 17:22:08.3",55883,6.7555,-1.3175,0.1665,7.473816,0,35.72045,2.906809
"2020-01-16 17:22:08.4",55884,7.521,-2.0525,0.905,7.335175,0,35.72045,2.906906
"2020-01-16 17:22:08.5",55885,5.305,-1.251,-0.078,7.183136,0,35.72045,2.906906
"2020-01-16 17:22:08.6",55886,8.045,-1.194,0.93375,7.68277,0,35.71712,2.906471
"2020-01-16 17:22:08.7",55887,8.5725,-0.082,2.2355,7.634308,0,35.72045,2.907003
"2020-01-16 17:22:08.8",55888,7.8015,-2.9945,-0.84225,7.221497,0,35.71712,2.906374
"2020-01-16 17:22:08.9",55889,6.91025,-1.757,0.05375,7.405334,0,35.71879,2.906543
"2020-01-16 17:22:09",55890,7.118751,-2.2425,-0.108,7.706207,0,35.72045,2.906809
"2020-01-16 17:22:09.1",55891,7.588,-2.7725,0.316,7.747986,0,35.72045,2.906711
"2020-01-16 17:22:09.2",55892,6.55725,-2.95275,0.67075,7.980469,0,35.71712,2.906276
"2020-01-16 17:22:09.3",55893,7.653,-3.42,0.03875,7.839996,0,35.71879,2.906445
"2020-01-16 17:22:09.4",55894,7.51,-2.6675,-0.19,7.754669,0,35.72045,2.906711
"2020-01-16 17:22:09.5",55895,7.048,-1.3085,0.04625,7.759735,0,35.72544,2.907413
"2020-01-16 17:22:09.6",55896,6.9325,-2.777,0.50275,7.537384,0,35.72045,2.906711
"2020-01-16 17:22:09.7",55897,6.707,-2.91725,0.7927501,7.684448,0,35.72045,2.906809
"2020-01-16 17:22:09.8",55898,7.609251,-2.5,-0.19525,7.773102,0,35.72045,2.906809
"2020-01-16 17:22:09.9",55899,6.93425,-4.473,0.2015,7.525635,0,35.71879,2.906445
"2020-01-16 17:22:10",55900,5.68975,-3.07875,0.39,7.589172,0,35.71546,2.906011
"2020-01-16 17:22:10.1",55901,6.431,-3.95475,0.57075,7.423706,0,35.71546,2.905914
"2020-01-16 17:22:10.2",55902,5.2645,-3.677,0.65825,7.645996,0,35.71879,2.906445
"2020-01-16 17:22:10.3",55903,5.639,-2.047,0.01125,7.756348,0,35.71712,2.906179
"2020-01-16 17:22:10.4",55904,6.3355,-4.823,0.33875,7.378601,0,35.71546,2.905914
"2020-01-16 17:22:10.5",55905,5.75225,-5.45675,0.40175,7.345154,0,35.72045,2.907003
"2020-01-16 17:22:10.6",55906,4.59675,-5.1875,1.769,7.335175,0,35.71879,2.906348
"2020-01-16 17:22:10.7",55907,3.4445,-3.74075,0.45275,7.565796,0,35.71712,2.906082
"2020-01-16 17:22:10.8",55908,5.31075,-3.64375,-0.48975,7.754669,0,35.71879,2.906251
"2020-01-16 17:22:10.9",55909,5.077,-4.02875,-0.9522501,7.737976,0,35.71879,2.906348
"2020-01-16 17:22:11",55910,5.7055,-3.0845,-0.45925,7.644348,0,35.71712,2.905985
"2020-01-16 17:22:11.1",55911,5.63275,-3.55125,-0.424,7.627625,0,35.71712,2.905985
"2020-01-16 17:22:11.2",55912,4.82325,-3.17975,-0.01975,7.649353,0,35.72045,2.906517
"2020-01-16 17:22:11.3",55913,4.75575,-2.6635,-0.651,7.692841,0,35.71879,2.906348
"2020-01-16 17:22:11.4",55914,5.012,-2.443,-0.39575,7.635986,0,35.71712,2.906179
"2020-01-16 17:22:11.5",55915,4.96475,-3.25125,-0.50425,7.498901,0,35.71381,2.905552
"2020-01-16 17:22:11.6",55916,4.393,-4.4155,0.171,7.328491,0,35.71712,2.906179
"2020-01-16 17:22:11.7",55917,3.45625,-3.55075,0.27875,7.539032,0,35.72045,2.906711
"2020-01-16 17:22:11.8",55918,3.5355,-4.105,0.08450001,7.17807,0,35.72045,2.906711
"2020-01-16 17:22:11.9",55919,2.53975,-4.30375,-0.015,7.264954,0,35.72045,2.906614
"2020-01-16 17:22:12",55920,3.39875,-3.56075,-1.0725,7.243225,0,35.71712,2.906276
"2020-01-16 17:22:12.1",55921,5.353,-4.262,-0.094,7.156372,0,35.71872,2.906465
"2020-01-16 17:22:12.2",55922,5.613,-5.74225,0.905,7.498901,0,35.7154,2.905935
"2020-01-16 17:22:12.3",55923,6.489501,-6.03425,1.127,7.631012,0,35.72038,2.906634
"2020-01-16 17:22:12.4",55924,6.11325,-5.511,1.5215,7.659393,0,35.7154,2.905741
"2020-01-16 17:22:12.5",55925,5.7885,-5.21975,1.91825,7.549042,0,35.71706,2.906006
"2020-01-16 17:22:12.6",55926,5.02925,-5.1595,1.4635,7.567413,0,35.71706,2.906104
"2020-01-16 17:22:12.7",55927,4.70075,-4.69425,1.31875,7.692841,0,35.7154,2.905741
"2020-01-16 17:22:12.8",55928,4.5385,-5.851,0.651,7.512299,0,35.7154,2.905838
"2020-01-16 17:22:12.9",55929,4.797,-5.364,0.3545,7.398651,0,35.71706,2.905909
"2020-01-16 17:22:13",55930,4.90425,-5.41775,0.43825,7.508942,0,35.71872,2.906271
"2020-01-16 17:22:13.1",55931,4.89625,-6.07775,0.10075,7.396973,0,35.7154,2.905838
"2020-01-16 17:22:13.2",55932,3.8605,-5.603251,0.914,7.47052,0,35.71706,2.906201
"2020-01-16 17:22:13.3",55933,4.4205,-5.3405,0.3005,7.407013,0,35.7154,2.905935
"2020-01-16 17:22:13.4",55934,5.027,-6.19225,1.2295,7.791473,0,35.7154,2.905935
"2020-01-16 17:22:13.5",55935,4.26825,-6.2375,1.55225,7.910217,0,35.71374,2.905669
"2020-01-16 17:22:13.6",55936,5.4265,-5.72275,1.0165,7.823273,0,35.71706,2.906298
"2020-01-16 17:22:13.7",55937,4.7045,-5.0375,1.014,7.851685,0,35.7154,2.906032
"2020-01-16 17:22:13.8",55938,5.648,-6.166,-0.338,7.793152,0,35.71207,2.9055
"2020-01-16 17:22:13.9",55939,5.0015,-6.454751,0.48075,7.910217,0,35.71374,2.905669
"2020-01-16 17:22:14",55940,4.452,-5.7935,0.21775,7.747986,0,35.71374,2.905669
"2020-01-16 17:22:14.1",55941,5.3525,-6.655251,0.8755,7.870056,0,35.71706,2.906395
"2020-01-16 17:22:14.2",55942,5.6425,-6.816,1.77175,7.793152,0,35.71706,2.906395
"2020-01-16 17:22:14.3",55943,5.5005,-6.87825,0.86825,7.888489,0,35.71374,2.905766
"2020-01-16 17:22:14.4",55944,4.799,-6.86925,1.3475,7.829956,0,35.71207,2.9055
"2020-01-16 17:22:14.5",55945,5.46325,-7.06425,0.92625,7.657715,0,35.71207,2.905695
"2020-01-16 17:22:14.6",55946,5.56975,-7.705501,1.1255,7.850006,0,35.7154,2.906129
"2020-01-16 17:22:14.7",55947,5.84175,-7.78775,1.23875,7.781464,0,35.71374,2.905863
"2020-01-16 17:22:14.8",55948,6.106,-7.54975,1.321,7.741302,0,35.71207,2.905695
"2020-01-16 17:22:14.9",55949,5.853251,-8.033,1.15575,7.773102,0,35.7154,2.906227
"2020-01-16 17:22:15",55950,6.1615,-7.614501,1.208,7.751343,0,35.71374,2.905863
"2020-01-16 17:22:15.1",55951,6.139,-7.25875,1.1985,7.727936,0,35.7154,2.906129
"2020-01-16 17:22:15.2",55952,6.053751,-7.25875,1.369,7.706207,0,35.7154,2.906227
"2020-01-16 17:22:15.3",55953,6.372,-6.34325,1.55225,7.580841,0,35.71706,2.906395
"2020-01-16 17:22:15.4",55954,6.87625,-5.94175,0.25725,7.443787,0,35.71374,2.905766
"2020-01-16 17:22:15.5",55955,6.458251,-5.692,1.31575,7.878448,0,35.7154,2.905935
"2020-01-16 17:22:15.6",55956,6.6505,-6.021,1.4835,7.699493,0,35.7154,2.906032
"2020-01-16 17:22:15.7",55957,6.37275,-6.124,0.7545,7.589172,0,35.71374,2.905766
"2020-01-16 17:22:15.8",55958,6.216,-5.952,1.50475,7.806519,0,35.71374,2.905766
"2020-01-16 17:22:15.9",55959,6.00325,-6.27025,1.194,7.794861,0,35.71374,2.905669
"2020-01-16 17:22:16",55960,6.76475,-6.711,1.306,7.472198,0,35.71207,2.905403
"2020-01-16 17:22:16.1",55961,7.26125,-7.184,1.21925,7.589172,0,35.71207,2.905403
"2020-01-16 17:22:16.2",55962,6.960001,-6.725,1.491,7.443787,0,35.7154,2.905935
"2020-01-16 17:22:16.3",55963,5.6635,-6.3215,0.7645,7.279999,0,35.7154,2.905935
"2020-01-16 17:22:16.4",55964,3.934,-6.58425,-0.42975,7.361877,0,35.71706,2.906201
"2020-01-16 17:22:16.5",55965,7.157001,-6.98225,0.8755,7.460449,0,35.71872,2.906271
"2020-01-16 17:22:16.6",55966,7.32875,-6.6325,0.615,7.503906,0,35.71872,2.906465
"2020-01-16 17:22:16.7",55967,6.7645,-6.24975,0.7762501,7.843323,0,35.71374,2.905572
"2020-01-16 17:22:16.8",55968,6.7635,-6.319,1.2405,7.756348,0,35.7154,2.905643
"2020-01-16 17:22:16.9",55969,6.680501,-6.02525,1.25475,7.843323,0,35.7154,2.905741
"2020-01-16 17:22:17",55970,7.17775,-6.12425,0.61975,7.701202,0,35.7154,2.905741
"2020-01-16 17:22:17.1",55971,6.86825,-6.11275,0.8017501,7.654358,0,35.71374,2.905474
"2020-01-16 17:22:17.2",55972,6.852,-6.0985,1.56925,7.763031,0,35.71041,2.904943
"2020-01-16 17:22:17.3",55973,7.406,-6.682,-0.03925,7.575775,0,35.71207,2.905208
"2020-01-16 17:22:17.4",55974,7.44925,-6.9995,0.952,7.677765,0,35.71041,2.90504
"2020-01-16 17:22:17.5",55975,6.75875,-6.803,0.7225,7.582458,0,35.71041,2.904943
"2020-01-16 17:22:17.6",55976,7.3105,-6.8965,1.17175,7.831635,0,35.71041,2.904943
"2020-01-16 17:22:17.7",55977,6.87975,-6.85775,0.8995001,7.793152,0,35.71374,2.905669
"2020-01-16 17:22:17.8",55978,6.99075,-6.896,0.56125,7.657715,0,35.71374,2.905572
"2020-01-16 17:22:17.9",55979,7.091001,-7.0895,1.16975,7.704529,0,35.7154,2.905838
"2020-01-16 17:22:18",55980,7.48525,-6.86525,1.1255,7.709564,0,35.71706,2.906201
"2020-01-16 17:22:18.1",55981,6.925,-6.686,1.17525,7.699493,0,35.7154,2.905741
"2020-01-16 17:22:18.2",55982,7.007,-6.264,1.53775,7.77478,0,35.71207,2.905208
"2020-01-16 17:22:18.3",55983,6.644001,-6.95625,1.2745,7.666077,0,35.7154,2.905741
"2020-01-16 17:22:18.4",55984,6.9125,-6.0445,0.2295,7.719574,0,35.7154,2.905643
"2020-01-16 17:22:18.5",55985,6.1325,-5.05875,0.32975,7.508942,0,35.71706,2.906006
"2020-01-16 17:22:18.6",55986,7.156,-5.697001,1.2055,7.656036,0,35.71872,2.906368
"2020-01-16 17:22:18.7",55987,6.54225,-6.82375,0.7185,7.689453,0,35.72038,2.906634
"2020-01-16 17:22:18.8",55988,6.80775,-5.51975,0.7995,7.579163,0,35.71872,2.906271
