"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-13 17:30:05.8",25954,3.72875,0.1355,-1.3195,26.35959,0,33.60422,2.527056
"2020-01-13 17:30:05.9",25955,2.49425,-1.07325,-1.09325,26.16974,0,33.60255,2.526821
"2020-01-13 17:30:06",25956,2.754,-0.9932501,-0.09850001,26.08685,0,33.60255,2.526821
"2020-01-13 17:30:06.1",25957,3.28325,0.3515,-0.993,26.39243,0,33.6092,2.527846
"2020-01-13 17:30:06.2",25958,1.18875,-0.2295,-0.9,26.21286,0,33.60422,2.527143
"2020-01-13 17:30:06.3",25959,2.394,-0.43325,-0.6965,26.26465,0,33.6092,2.527933
"2020-01-13 17:30:06.4",25960,1.69225,0.978,-1.27475,26.25601,0,33.60754,2.527611
"2020-01-13 17:30:06.5",25961,4.6895,0.139,-1.197,25.99539,0,33.60255,2.527081
"2020-01-13 17:30:06.6",25962,3.81675,1.1385,-1.75125,26.52539,0,33.60422,2.527488
"2020-01-13 17:30:06.7",25963,5.2045,-0.12825,-1.1215,26.18008,0,33.60588,2.52781
"2020-01-13 17:30:06.8",25964,2.55025,-0.127,-0.84,26.22665,0,33.6009,2.527106
"2020-01-13 17:30:06.9",25965,2.0345,-0.715,-1.52175,26.35959,0,33.60255,2.52734
"2020-01-13 17:30:07",25966,1.9765,-1.41125,-0.9342501,26.34753,0,33.6009,2.527192
"2020-01-13 17:30:07.1",25967,2.6695,0.56575,-0.31375,26.20596,0,33.59924,2.526871
"2020-01-13 17:30:07.2",25968,3.666,-0.14,-1.11125,26.22839,0,33.6009,2.527106
"2020-01-13 17:30:07.3",25969,4.17675,-0.52925,-0.49275,26.35443,0,33.59924,2.526871
"2020-01-13 17:30:07.4",25970,3.2245,-0.20525,-1.57675,26.04715,0,33.59924,2.526958
"2020-01-13 17:30:07.5",25971,4.2745,-0.61425,-0.9020001,26.19388,0,33.60255,2.527426
"2020-01-13 17:30:07.6",25972,1.4525,-0.7545,-1.27675,26.10068,0,33.59924,2.526958
"2020-01-13 17:30:07.7",25973,4.09175,0.5055,-0.7730001,26.19733,0,33.6009,2.527192
"2020-01-13 17:30:07.8",25974,3.86025,-0.45425,-0.5732501,26.32333,0,33.59592,2.526575
"2020-01-13 17:30:07.9",25975,1.33475,0.169,-0.9162501,26.29401,0,33.59425,2.525995
"2020-01-13 17:30:08",25976,3.568,-1.45275,-0.5470001,26.4166,0,33.59425,2.526081
"2020-01-13 17:30:08.1",25977,2.8805,0.9710001,-0.63725,26.37686,0,33.59924,2.526698
"2020-01-13 17:30:08.2",25978,4.354,-0.5247501,-0.39925,26.64114,0,33.60255,2.527081
"2020-01-13 17:30:08.3",25979,2.1305,0.3085,-1.4215,26.49261,0,33.59758,2.526465
"2020-01-13 17:30:08.4",25980,3.4935,0.1555,-1.4135,26.3078,0,33.6009,2.52676
"2020-01-13 17:30:08.5",25981,2.57575,0.6005,-2.185,26.4805,0,33.60422,2.527488
"2020-01-13 17:30:08.6",25982,2.70225,-0.66575,-0.8235,26.28537,0,33.60255,2.526994
"2020-01-13 17:30:08.7",25983,1.88875,-0.94675,0.306,26.31644,0,33.60255,2.527081
"2020-01-13 17:30:08.8",25984,1.9775,-1.00225,-0.7975,26.32681,0,33.59758,2.526378
"2020-01-13 17:30:08.9",25985,2.414,0.12325,-0.39875,26.37686,0,33.59924,2.526525
"2020-01-13 17:30:09",25986,3.68875,-1.286,-0.53525,26.28537,0,33.6009,2.52676
"2020-01-13 17:30:09.1",25987,2.1195,0.20775,-1.29125,26.47531,0,33.60255,2.526994
"2020-01-13 17:30:09.2",25988,1.82975,-1.17775,0.802,26.2923,0,33.59924,2.526525
"2020-01-13 17:30:09.3",25989,3.77125,0.49,-0.20225,26.24219,0,33.60588,2.527464
"2020-01-13 17:30:09.4",25990,2.0585,-0.07175,-0.42975,26.35617,0,33.60255,2.527081
"2020-01-13 17:30:09.5",25991,4.83025,-0.3595,-0.99875,26.6394,0,33.59924,2.526612
"2020-01-13 17:30:09.6",25992,3.789,-0.3705,-0.65925,26.37863,0,33.60754,2.527698
"2020-01-13 17:30:09.7",25993,3.444,0.08050001,-0.80075,26.36823,0,33.61252,2.528401
"2020-01-13 17:30:09.8",25994,4.31325,-1.0295,-0.8200001,26.3959,0,33.61086,2.528168
"2020-01-13 17:30:09.9",25995,2.719,-0.2665,-1.4205,26.0817,0,33.61252,2.528488
"2020-01-13 17:30:10",25996,3.65375,-0.779,-1.296,26.22498,0,33.6092,2.527933
"2020-01-13 17:30:10.1",25997,1.7805,0.544,-0.964,26.32166,0,33.6092,2.528106
"2020-01-13 17:30:10.2",25998,3.62275,-0.08400001,-0.59825,26.44769,0,33.60588,2.52755
"2020-01-13 17:30:10.3",25999,1.90625,0.64175,-0.8380001,26.17145,0,33.60588,2.52755
"2020-01-13 17:30:10.4",26000,2.0765,-0.6355,-1.2965,26.35443,0,33.60754,2.527957
"2020-01-13 17:30:10.5",26001,4.34225,-0.51025,-0.3465,26.28366,0,33.60422,2.527575
"2020-01-13 17:30:10.6",26002,2.48225,0.08725,-1.76725,26.2923,0,33.60588,2.527723
"2020-01-13 17:30:10.7",26003,4.3845,-1.354,-0.518,26.12659,0,33.60422,2.527575
"2020-01-13 17:30:10.8",26004,4.2135,0.9867501,-1.17525,26.16107,0,33.60255,2.527253
"2020-01-13 17:30:10.9",26005,3.135,1.105,-0.35825,26.19388,0,33.60422,2.527575
"2020-01-13 17:30:11",26006,3.52825,-0.00025,-0.74775,26.09378,0,33.60588,2.527896
"2020-01-13 17:30:11.1",26007,4.578,0.20125,-1.049,26.22665,0,33.60255,2.52734
"2020-01-13 17:30:11.2",26008,4.0055,-0.194,-0.164,26.25259,0,33.59924,2.526958
"2020-01-13 17:30:11.3",26009,2.72725,-0.3805,-1.62875,26.46494,0,33.59758,2.526724
"2020-01-13 17:30:11.4",26010,3.009,-0.1895,-1.4845,26.58932,0,33.59924,2.52713
"2020-01-13 17:30:11.5",26011,2.2575,-1.33225,0.29475,26.40622,0,33.59758,2.526638
"2020-01-13 17:30:11.6",26012,5.52125,-1.34525,-0.7075,26.32166,0,33.59758,2.526638
"2020-01-13 17:30:11.7",26013,3.002,0.28775,-1.69325,26.31302,0,33.59924,2.526958
"2020-01-13 17:30:11.8",26014,2.4995,-1.4145,0.05775,26.25259,0,33.59924,2.526958
"2020-01-13 17:30:11.9",26015,4.6985,-0.44625,-0.80875,26.30609,0,33.6009,2.527192
"2020-01-13 17:30:12",26016,4.58375,-0.29875,-0.77425,26.33887,0,33.60422,2.527747
"2020-01-13 17:30:12.1",26017,3.61475,-0.544,0.37625,26.06616,0,33.60255,2.527513
"2020-01-13 17:30:12.2",26018,5.0625,0.68775,0.097,26.20255,0,33.60588,2.527982
"2020-01-13 17:30:12.3",26019,3.39275,-0.4085,-1.027,26.46667,0,33.60754,2.528303
"2020-01-13 17:30:12.4",26020,3.9515,-0.402,-0.5695,26.26465,0,33.60588,2.527982
"2020-01-13 17:30:12.5",26021,3.0645,1.00275,0.002,26.5513,0,33.60588,2.528069
"2020-01-13 17:30:12.6",26022,2.90925,1.58725,-1.32375,26.35443,0,33.60588,2.528155
"2020-01-13 17:30:12.7",26023,1.76125,-1.2895,-0.173,26.25601,0,33.6009,2.527365
"2020-01-13 17:30:12.8",26024,3.18525,-0.6390001,-1.28,26.06616,0,33.60422,2.527747
"2020-01-13 17:30:12.9",26025,3.80575,-0.0045,-0.4805,26.13174,0,33.60588,2.528069
"2020-01-13 17:30:13",26026,2.057,0.5795,-0.6555001,26.4408,0,33.60588,2.528069
"2020-01-13 17:30:13.1",26027,3.8705,-0.09775001,-0.772,26.1369,0,33.60588,2.528069
"2020-01-13 17:30:13.2",26028,1.696,-0.479,-0.27,25.95398,0,33.60422,2.527661
"2020-01-13 17:30:13.3",26029,4.77175,-0.021,-0.6975001,26.38901,0,33.60255,2.527513
"2020-01-13 17:30:13.4",26030,4.3115,0.72025,-0.9465001,26.21634,0,33.60255,2.527513
"2020-01-13 17:30:13.5",26031,3.23925,-0.2175,-1.3355,26.17834,0,33.60422,2.527575
"2020-01-13 17:30:13.6",26032,2.4875,1.185,-0.9802501,26.39069,0,33.60255,2.527426
"2020-01-13 17:30:13.7",26033,2.5565,-0.09850001,-0.51375,26.19388,0,33.60255,2.527253
"2020-01-13 17:30:13.8",26034,3.9095,0.622,-0.6485,26.11279,0,33.6009,2.527106
"2020-01-13 17:30:13.9",26035,3.01125,-0.712,0.03975,26.30954,0,33.60255,2.52734
"2020-01-13 17:30:14",26036,3.5875,-0.5190001,-0.414,26.35269,0,33.60422,2.527575
"2020-01-13 17:30:14.1",26037,3.186,0.47725,-1.5815,26.58411,0,33.6009,2.527019
"2020-01-13 17:30:14.2",26038,3.6895,0.83825,-0.753,26.37686,0,33.60255,2.52734
"2020-01-13 17:30:14.3",26039,3.39025,1.2975,-1.1035,26.30609,0,33.60255,2.52734
"2020-01-13 17:30:14.4",26040,3.45675,0.06475,-1.11775,26.33374,0,33.60255,2.527253
"2020-01-13 17:30:14.5",26041,4.4735,0.06475,-0.9450001,26.22839,0,33.60255,2.527253
"2020-01-13 17:30:14.6",26042,3.2855,-1.04425,0.00075,26.10068,0,33.6009,2.526933
"2020-01-13 17:30:14.7",26043,2.798,0.12525,-1.03025,26.35959,0,33.60255,2.527167
"2020-01-13 17:30:14.8",26044,4.098,-0.03225,-0.684,26.20596,0,33.60255,2.527426
"2020-01-13 17:30:14.9",26045,2.03975,0.29475,-0.7147501,26.07825,0,33.60255,2.527253
"2020-01-13 17:30:15",26046,5.60775,-0.64925,-0.4135,26.20255,0,33.6009,2.527106
"2020-01-13 17:30:15.1",26047,4.9515,-0.38475,-0.7585,26.33887,0,33.60588,2.527637
"2020-01-13 17:30:15.2",26048,4.72775,0.40025,-0.4705,25.85562,0,33.6009,2.526933
"2020-01-13 17:30:15.3",26049,3.67025,-0.38925,-1.21975,26.0817,0,33.60255,2.527167
"2020-01-13 17:30:15.4",26050,2.87925,-0.04,-1.7975,26.2612,0,33.60588,2.527637
"2020-01-13 17:30:15.5",26051,4.099,0.1445,-1.2335,26.32166,0,33.60588,2.527464
"2020-01-13 17:30:15.6",26052,5.53075,0.1655,-0.8615,26.05411,0,33.60588,2.527464
"2020-01-13 17:30:15.7",26053,4.38975,-1.18775,-1.11175,26.13522,0,33.60754,2.527784
"2020-01-13 17:30:15.8",26054,2.60525,0.415,-0.74625,26.57205,0,33.60588,2.52755
"2020-01-13 17:30:15.9",26055,1.87425,-1.663,-0.98575,26.21802,0,33.60754,2.527784
"2020-01-13 17:30:16",26056,3.20525,-0.62275,-0.18075,26.38724,0,33.61086,2.528255
"2020-01-13 17:30:16.1",26057,4.33125,-0.21675,-0.9762501,26.31992,0,33.61418,2.528896
"2020-01-13 17:30:16.2",26058,2.3085,-0.11825,-1.0185,26.18353,0,33.61418,2.528637
"2020-01-13 17:30:16.3",26059,2.25375,-0.3765,-0.1835,26.17319,0,33.61252,2.528574
"2020-01-13 17:30:16.4",26060,2.3635,-0.6825,-1.4695,26.26291,0,33.61252,2.528661
"2020-01-13 17:30:16.5",26061,5.004,-0.786,-0.55925,26.40448,0,33.61086,2.528686
"2020-01-13 17:30:16.6",26062,3.263,-0.148,0.76675,26.03336,0,33.61086,2.5286
"2020-01-13 17:30:16.7",26063,3.46825,-0.011,-0.8735,26.02646,0,33.6092,2.528365
"2020-01-13 17:30:16.8",26064,2.50025,-0.93375,-1.797,26.12833,0,33.6092,2.528365
"2020-01-13 17:30:16.9",26065,2.65525,0.85575,-0.67425,26.27847,0,33.60422,2.527747
"2020-01-13 17:30:17",26066,1.4565,-0.10275,-0.30875,26.19733,0,33.60255,2.527599
